config,query,kernel_total_ms,sync_total_ms,sync_per_kernel,h2d_bytes,kernel_gap_p50_us,kernel_gap_p95_us,top5_kernels
dec_region,10,657.59,4007.31,6.094,4023868,263.1,1473.9,void cub::detail::transform::transform_kernel<cub::detail::t|64834356|153;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|55049136|736;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|52878433|164;void cub::detail::for_each::static_kernel<cub::detail::for_e|48066064|69;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|34073289|153
dec_region,11,42.62,99.0,2.323,196467,267.0,2716.8,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|15122666|8;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|8325921|8;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|8140163|110;void cub::detail::for_each::static_kernel<cub::detail::for_e|6339402|8;void cub::detail::transform::transform_kernel<cub::detail::t|1294844|36
dec_region,12,205.2,1359.1,6.623,2423187,217.7,4255.7,void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|31015365|567;void cub::detail::for_each::static_kernel<cub::detail::for_e|28165247|255;void cudf::strings::detail::fused_concatenate_string_offset_|23764872|289;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|22593841|10;void cub::detail::for_each::static_kernel<cub::detail::for_e|18407548|245
dec_region,13,467.69,1919.52,4.104,392618,298.9,9850.2,void cub::detail::transform::transform_kernel<cub::detail::t|179231521|39;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|104864942|2;void cudf::strings::detail::gather_chars_fn_string_parallel<|57642453|39;void cub::detail::for_each::static_kernel<cub::detail::for_e|24210826|4;void cuco::detail::open_addressing_ns::retrieve<(bool)1, (in|20786071|2
dec_region,14,105.14,623.48,5.93,1524257,361.0,2264.2,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|36300590|542;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|11582580|172;void cub::detail::for_each::static_kernel<cub::detail::for_e|8377897|43;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|6941864|4;void cub::detail::for_each::static_kernel<cub::detail::for_e|5450355|43
dec_region,15,102.46,487.07,4.754,1464490,380.7,1953.0,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|34711404|524;void cub::detail::for_each::static_kernel<cub::detail::for_e|15395372|46;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|11414879|173;void cub::detail::for_each::static_kernel<cub::detail::for_e|8319627|42;void cub::detail::for_each::static_kernel<cub::detail::for_e|5353745|42
dec_region,16,214.54,1003.2,4.676,209762,261.2,4870.6,void cub::detail::merge_sort::DeviceMergeSortMergeKernel<cub|54603088|81;void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|53730677|11;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|19841218|10;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|13253495|32;void cub::detail::merge_sort::DeviceMergeSortPartitionKernel|12949015|81
dec_region,17,318.55,1347.61,4.231,1864071,493.3,7517.1,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|165593142|62;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|85541714|62;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|57575630|661;void cub::detail::transform::transform_kernel<cub::detail::t|2216088|225;void cudf::strings::detail::fused_concatenate_string_offset_|1205951|24
dec_region,19,503.41,1850.2,3.675,8688258051,48.6,1563.7,sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|95096513|830;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|79040298|1636;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|76504273|208;void cub::detail::transform::transform_kernel<cub::detail::t|29478276|922;void cub::detail::for_each::static_kernel<cub::detail::for_e|24264740|194
dec_region,2,59.82,190.35,3.182,378281,101.6,2812.4,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|25800468|18;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|13116443|18;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|10807326|141;void cudf::strings::detail::fused_concatenate_string_offset_|1679804|59;void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|1287069|2
dec_region,20,141.51,1111.73,7.856,1632281,377.1,2465.6,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|40783792|595;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|14815855|42;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|11462577|170;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|10370459|42;void cub::detail::transform::transform_kernel<cub::detail::t|9450844|233
